IMU_0,IMU_1,IMU_2,IMU_3,IMU_4,IMU_5,IMU_6,IMU_7,IMU_8,IMU_9,IMU_10,IMU_11,Label
-694.4849853515625,-26.815601348876953,938.5703125,-26530.0,-71759.625,48273.75,-519.3783569335938,-100.10099029541016,1048.5655517578125,-5267.5,-70324.625,48966.75,something
-672.0613403320312,-145.55819702148438,928.6151123046875,-5219.375,-96369.875,12551.875,-484.7181701660156,-212.3898162841797,1033.42529296875,11977.875,-93704.625,9136.75,something
-629.7761840820312,-321.21380615234375,818.6687622070312,30188.375,-81305.0,-12395.25,-446.87384033203125,-378.35858154296875,904.703125,38641.75,-72448.25,-21455.875,run
-582.0985717773438,-415.0196228027344,666.3395385742188,39324.25,-83560.75,-14802.375,-411.9452209472656,-464.29541015625,742.4066162109375,45808.0,-77376.25,-23292.5,run
-454.03521728515625,-533.0057983398438,424.3160095214844,17374.875,-115693.375,-17246.25,-310.92919921875,-574.3516235351562,482.14398193359375,26046.125,-110954.375,-22793.75,run
-365.3412170410156,-594.1522216796875,347.88299560546875,-1744.75,-111702.5,-26246.5,-232.81259155273438,-627.5069580078125,393.510986328125,5139.75,-104634.25,-28529.375,run
-253.796630859375,-661.8011474609375,396.1949768066406,-5654.25,-74828.25,-50211.875,-117.87640380859375,-678.0637817382812,428.5005798339844,-7539.0,-73194.625,-51739.625,run
-216.44021606445312,-634.8513793945312,566.7510375976562,-18514.125,-12664.75,-99781.5,-69.94259643554688,-646.0997924804688,598.8370361328125,-34815.375,-12089.0,-97819.75,run
-346.3580017089844,-505.6412048339844,874.7034912109375,-2873.5,94579.625,-148125.25,-172.66661071777344,-528.1502075195312,928.55419921875,-36659.0,93513.0,-143785.25,run
-613.8551635742188,-240.42538452148438,1075.21044921875,276.5,108535.875,-152124.875,-414.5194396972656,-301.55963134765625,1173.786376953125,-34820.625,108554.25,-149506.0,run
-771.7598876953125,-33.4767951965332,1160.512939453125,-217.875,101653.125,-140724.5,-568.8128662109375,-112.77679443359375,1283.257080078125,-31465.875,99923.25,-137741.625,run
-887.7940673828125,159.7711944580078,1206.7874755859375,10672.375,90394.5,-116453.75,-687.4578247070312,65.672607421875,1343.0003662109375,-13277.25,90010.375,-114579.5,run
-944.0726318359375,396.68304443359375,1078.906982421875,14216.125,43575.875,-63633.5,-778.4332275390625,290.06719970703125,1225.612060546875,1800.75,46129.125,-66215.625,run
-880.291015625,480.6067810058594,921.6490478515625,4737.25,38367.875,-40982.375,-756.0095825195312,381.33538818359375,1062.180908203125,-3744.125,38211.25,-41139.875,run
-830.5881958007812,586.6737060546875,633.1556396484375,-33293.75,41118.0,1956.5,-776.02978515625,487.48760986328125,778.128173828125,-34818.0,36257.375,7673.75,run
-868.8839721679688,666.388427734375,562.2858276367188,-51222.5,41548.5,22962.625,-835.7488403320312,562.55419921875,718.7874145507812,-50261.75,35420.875,31762.5,run
-924.8087768554688,760.1820678710938,578.243408203125,-56280.875,35751.625,42742.0,-897.4075927734375,650.9920654296875,743.1629638671875,-50959.125,28693.0,52361.75,run
-1009.7574462890625,878.2780151367188,684.2492065429688,-39739.875,20959.75,62873.125,-976.6099853515625,763.1466674804688,860.3196411132812,-30094.75,17245.375,69381.375,run
-1034.010986328125,901.9948120117188,805.4440307617188,464.625,31458.875,82428.5,-984.47900390625,784.6552124023438,977.0858154296875,10361.75,32081.0,82445.125,run
-983.0516357421875,841.4583740234375,819.6082153320312,17618.125,33929.0,92327.375,-923.61328125,727.388427734375,977.7811279296875,27292.125,35079.625,88704.875,run
-894.1502075195312,672.1712646484375,792.09716796875,11821.25,46012.75,87774.75,-824.7931518554688,563.3838500976562,934.44677734375,17503.5,46472.125,85891.75,run
-909.0830078125,529.7972412109375,825.3787841796875,3357.375,57538.25,94730.125,-815.2527465820312,420.97320556640625,965.7276611328125,9404.5,53797.625,93714.25,run
-954.8939208984375,362.0105895996094,870.5921020507812,65.625,35056.0,116202.625,-826.6964111328125,251.197998046875,1013.5638427734375,11921.0,31129.875,113441.125,run
-975.0849609375,188.99020385742188,906.59423828125,-3925.25,-14753.375,133419.125,-803.5042114257812,79.82460021972656,1044.0760498046875,16119.25,-18840.5,130123.0,run
-873.0441284179688,-19.166196823120117,927.7003173828125,-5295.5,-82052.25,137428.375,-672.0125732421875,-106.44500732421875,1047.1259765625,23837.625,-85036.0,131872.125,run
-733.2322387695312,-110.8248062133789,914.5242919921875,-5164.25,-131541.375,115997.875,-528.4429931640625,-181.90200805664062,1014.3568115234375,26966.625,-132048.0,110764.5,run
-508.6180114746094,-159.53939819335938,870.1771240234375,-2630.25,-170096.5,47264.875,-319.835205078125,-205.7773895263672,938.7655029296875,23205.875,-169237.25,41925.625,run
-418.8260192871094,-131.0279998779297,798.7828369140625,5235.125,-161764.75,-4333.875,-266.4723815917969,-167.38400268554688,861.1248168945312,23146.375,-156020.375,-7789.25,run
-438.57781982421875,-109.5560073852539,710.5889892578125,9794.75,-151052.125,-13528.375,-304.23138427734375,-150.13320922851562,775.2734375,22388.625,-143750.25,-18942.0,run
-438.37042236328125,-100.25960540771484,675.4895629882812,8808.625,-137466.875,-12149.375,-313.19842529296875,-141.31259155273438,742.0040283203125,21220.5,-133962.5,-16117.5,run
-409.0293884277344,-81.7278060913086,593.4811401367188,3522.75,-72166.5,882.0,-305.8418273925781,-121.86579895019531,658.9952392578125,10858.75,-65834.125,-997.5,run
-353.9219970703125,-98.61260986328125,582.4158325195312,-139.125,-31701.25,8418.375,-250.84420776367188,-133.5290069580078,639.2921752929688,3315.375,-27315.75,7818.125,run
-272.88958740234375,-159.23440551757812,665.5343627929688,13244.875,40641.125,-4073.125,-153.95179748535156,-184.48837280273438,705.0989990234375,7421.75,49690.375,-6501.25,run
-268.27801513671875,-177.02200317382812,694.9973754882812,4727.625,44270.625,-19324.375,-138.4212188720703,-203.14218139648438,729.5721435546875,-4146.625,48209.875,-20350.75,run
-284.54058837890625,-183.45138549804688,787.83935546875,-15788.5,49510.125,-53137.0,-136.60342407226562,-212.9143829345703,823.8416137695312,-29286.25,49431.375,-50425.375,run
-292.0435791015625,-179.8157958984375,828.2457885742188,-20626.375,55601.0,-67953.375,-139.27520751953125,-209.5471954345703,864.6506958007812,-37003.75,55088.25,-64513.75,run
-362.2424011230469,-146.0583953857422,963.33642578125,-34248.375,42635.25,-114486.75,-186.55020141601562,-182.32901000976562,1010.5870361328125,-55108.375,37561.125,-107575.125,run
-461.5016174316406,-108.848388671875,1121.106689453125,-12943.0,-2084.25,-135714.25,-257.3346252441406,-150.1575927734375,1180.3865966796875,-32297.125,-3808.0,-132398.0,run
-548.8536376953125,-28.34060287475586,1144.115966796875,6993.0,-19009.375,-131397.0,-350.18878173828125,-80.01980590820312,1218.1212158203125,-10856.125,-17991.75,-130195.625,run
-647.7224731445312,100.29618835449219,1086.8004150390625,4575.375,-28070.0,-86172.625,-469.9440002441406,34.818809509277344,1179.923095703125,-5299.0,-26683.125,-85370.25,run
-660.6422729492188,311.7953796386719,1007.5857543945312,-7019.25,15249.5,-42784.0,-524.2218017578125,250.8808135986328,1111.310302734375,-14348.25,19860.75,-41450.5,run
-646.1730346679688,530.809814453125,950.2946166992188,-12488.875,35170.625,-30336.25,-541.9483642578125,463.490234375,1059.606689453125,-19428.5,40266.625,-29134.875,run
-650.5528564453125,801.5887451171875,874.9596557617188,-23420.25,22914.5,-21234.5,-584.2823486328125,728.1814575195312,990.7863159179688,-26706.75,24934.0,-19777.625,run
-671.8662109375,1081.1884765625,840.9093627929688,-30042.25,28910.875,-11852.75,-644.6113891601562,1001.5467529296875,966.2888793945312,-33596.5,28703.5,-8865.5,run
-709.08837890625,1318.893310546875,855.2931518554688,-20381.375,58283.75,4568.375,-711.0037841796875,1226.0999755859375,993.3240356445312,-21843.5,59083.5,8820.875,run
-783.7645263671875,1490.840087890625,844.49609375,-6483.75,45707.375,58413.25,-799.8075561523438,1381.674560546875,994.763671875,1142.75,45786.125,61915.0,run
-745.7005615234375,1375.7818603515625,865.9072265625,-211.75,63548.625,94009.125,-750.9710083007812,1274.99755859375,1007.1466064453125,9650.375,61289.375,96725.125,run
-740.1251831054688,1173.810791015625,923.2593994140625,10569.125,54626.25,106937.25,-711.8089599609375,1074.734619140625,1062.095458984375,25819.5,53256.0,109464.25,run
-775.93212890625,878.4610595703125,1002.1935424804688,32396.875,19308.625,129995.25,-697.4862060546875,789.4864501953125,1132.416259765625,49333.375,17789.625,123941.125,run
-835.8951416015625,281.71014404296875,1036.743896484375,59038.875,-21331.625,164876.25,-673.098388671875,184.195556640625,1153.3392333984375,79941.75,-14203.0,150700.375,run
-735.4403686523438,-382.5675964355469,963.1168212890625,34528.375,-60622.625,150248.875,-501.932373046875,-465.91802978515625,1049.9320068359375,56214.375,-51441.25,136682.0,run
-534.4698486328125,-901.66552734375,883.69482421875,-4029.375,-57833.125,67978.75,-259.42083740234375,-963.9708251953125,928.2003784179688,4866.75,-54159.0,61999.875,run
-458.78106689453125,-1015.6989135742188,848.7784423828125,-22358.0,-70011.375,28749.0,-179.57180786132812,-1064.462158203125,880.6325073242188,-16614.5,-67440.625,26705.875,run
-289.20098876953125,-1103.3314208984375,834.0408325195312,-71083.25,-87932.25,-102224.5,-23.619203567504883,-1115.0067138671875,848.7906494140625,-77899.5,-92162.0,-94507.875,run
