IMU_0,IMU_1,IMU_2,IMU_3,IMU_4,IMU_5,IMU_6,IMU_7,IMU_8,IMU_9,IMU_10,IMU_11,Label
-211.81643676757812,-100.71101379394531,990.2984619140625,-18516.75,-14223.125,-16411.5,-42.187599182128906,-118.181396484375,1015.2840576171875,-18560.5,-15765.75,-12693.625,something
117.69340515136719,-113.58199310302734,991.4451904296875,14267.75,21292.25,21299.25,281.57598876953125,-93.18360900878906,964.27587890625,15244.25,22609.125,18920.125,something
122.02439880371094,-113.947998046875,994.6171875,12193.125,23584.75,16186.625,286.773193359375,-92.93960571289062,967.1062622070312,12431.125,23586.5,14185.5,something
118.79139709472656,-112.19120025634766,997.3988037109375,11668.125,23270.625,14226.625,284.12579345703125,-91.57320404052734,970.16845703125,11592.0,23209.375,12368.125,something
97.66099548339844,-100.86959075927734,1009.08642578125,10927.0,25835.25,8927.625,263.9714050292969,-82.64280700683594,984.9304809570312,9640.75,26032.125,7206.5,something
62.69580078125,-83.6919937133789,1011.8679809570312,10181.5,29608.25,4522.875,227.7617950439453,-69.47900390625,992.2869873046875,7749.0,29808.625,3117.625,something
40.79680252075195,-70.2719955444336,1006.7196044921875,8229.375,36211.875,1944.25,202.73959350585938,-58.98700714111328,991.2255859375,4501.0,37291.625,1033.375,something
11.053201675415039,-52.691795349121094,997.5574340820312,5782.0,59090.5,-3497.375,167.8231964111328,-45.04240036010742,987.6510620117188,-1232.0,59699.5,-3548.125,something
-16.116201400756836,-41.675201416015625,990.6522216796875,5598.25,63712.25,-6443.5,141.05641174316406,-36.88059997558594,985.1988525390625,-2508.625,63896.875,-6358.625,something
-48.11680221557617,-31.463802337646484,984.7717895507812,6139.0,60385.5,-7751.625,110.47100830078125,-30.365798950195312,984.6741943359375,-1931.125,61547.5,-8011.5,something
-125.15980529785156,-10.540799140930176,974.4871826171875,9023.0,45045.875,-5737.375,33.830604553222656,-17.32400131225586,986.6383666992188,2895.375,46137.875,-6445.25,something
-182.2436065673828,13.346799850463867,974.6091918945312,10729.25,27526.625,540.75,-22.496801376342773,-0.5977998971939087,995.3370361328125,7280.875,29284.5,-764.75,something
-208.7541961669922,30.707401275634766,978.4765625,11894.75,16096.5,5297.25,-49.72719955444336,13.602999687194824,1003.4622192382812,10565.625,18059.125,3556.875,something
-221.38119506835938,48.433998107910156,982.8807373046875,12483.625,6915.125,8574.125,-62.5128059387207,29.6460018157959,1009.6354370117188,12916.75,8289.75,6568.625,something
-223.29660034179688,73.67579650878906,981.8682861328125,11180.75,547.75,10801.0,-67.99060821533203,53.39939498901367,1008.6959838867188,12481.0,1908.375,8714.125,something
-213.6097869873047,96.34339904785156,962.1774291992188,5076.75,-2989.875,12954.375,-66.47779846191406,76.38420104980469,988.7125244140625,7133.875,-1244.25,11768.75,something
-207.0217742919922,99.9301986694336,942.0230712890625,-140.0,-270.375,13446.125,-64.45260620117188,80.0929946899414,967.58203125,2008.125,105.0,13215.125,something
-199.78720092773438,100.86959838867188,908.4730224609375,-13238.75,1218.875,13757.625,-63.183799743652344,80.4345932006836,935.43505859375,-10668.0,-361.375,15498.875,something
-196.74940490722656,99.99119567871094,901.43359375,-17444.0,1866.375,13545.875,-61.53680419921875,79.75139617919922,928.3712158203125,-15204.875,710.5,15976.625,something
-196.61520385742188,91.84159851074219,883.3654174804688,-32447.625,-720.125,10678.5,-63.01300048828125,71.41879272460938,910.5712890625,-29776.25,-5611.375,15362.375,something
-196.981201171875,84.70460510253906,880.27880859375,-38567.375,-4946.375,8074.5,-63.12279510498047,64.7697982788086,908.2532958984375,-35708.75,-10399.375,13797.875,something
-194.27279663085938,73.48060607910156,881.083984375,-42763.0,-11067.0,3856.125,-58.46239471435547,54.33879852294922,907.9117431640625,-39336.5,-16968.0,10267.25,something
-186.02560424804688,53.93620681762695,885.7322387695312,-49917.0,-20419.875,-3828.125,-47.189598083496094,36.258399963378906,912.4501953125,-46298.875,-26481.0,3901.625,something
-179.62060546875,39.869606018066406,896.8219604492188,-52345.125,-16826.25,-7479.5,-38.58859634399414,23.716800689697266,922.1491088867188,-49667.625,-22402.625,702.625,something
-178.339599609375,26.339801788330078,909.6685791015625,-51811.375,-11672.5,-8546.125,-34.208797454833984,10.882400512695312,934.2637939453125,-49982.625,-16199.75,-267.75,something
-181.63360595703125,7.259000301361084,928.60302734375,-48048.875,2028.25,-7180.25,-34.562599182128906,-7.515200138092041,953.0517578125,-47762.75,-1846.25,587.125,something
-182.78041076660156,-7.929998874664307,935.5814208984375,-40082.875,19240.375,-7014.0,-34.78219985961914,-22.277202606201172,958.1026611328125,-41901.125,16636.375,-268.625,something
-186.7087860107422,-54.167999267578125,908.9244384765625,-25257.75,42982.625,-15160.25,-39.45479965209961,-68.0394058227539,930.6770629882812,-31296.125,40580.75,-10495.625,something
-195.73678588867188,-83.13080596923828,887.0133056640625,-20345.5,59956.75,-19872.125,-49.824798583984375,-98.41739654541016,909.98583984375,-29083.25,58044.875,-15323.0,something
-217.4161834716797,-116.33919525146484,862.3692626953125,-16640.75,69604.5,-19979.75,-69.23500061035156,-132.93121337890625,888.5016479492188,-26594.75,67228.0,-15583.75,something
-252.94259643554688,-182.03619384765625,824.5980224609375,-16742.25,61421.5,-15246.875,-97.73419189453125,-202.94699096679688,855.3419799804688,-25283.125,59080.0,-10776.5,something
-267.60699462890625,-236.9117889404297,793.5123901367188,-24102.75,48233.5,-10989.125,-106.99400329589844,-261.71441650390625,824.8419799804688,-31234.0,44277.625,-5668.25,something
-266.4114074707031,-363.6698303222656,764.4275512695312,-59122.875,27387.5,-14436.625,-94.51339721679688,-390.55859375,794.0491333007812,-64304.625,19817.0,-4319.0,something
-270.14459228515625,-425.9507751464844,793.6832275390625,-73257.625,27411.125,-25417.875,-86.72980499267578,-453.8522033691406,821.5113525390625,-79804.375,17290.875,-12853.75,something
