IMU_0,IMU_1,IMU_2,IMU_3,IMU_4,IMU_5,IMU_6,IMU_7,IMU_8,IMU_9,IMU_10,IMU_11,Label
956.0896606445312,185.4644012451172,269.0343933105469,475.125,14.875,-617.75,948.8917236328125,301.5107727050781,118.21800231933594,649.25,-11.375,-989.625,something
953.125,196.8713836669922,267.9486083984375,42.875,-126.0,124.25,944.5849609375,311.71002197265625,117.66899108886719,402.5,-112.0,-144.375,something
954.1375732421875,196.55418395996094,268.3389892578125,88.375,-267.75,-44.625,945.7196044921875,311.6001892089844,118.01060485839844,443.625,-259.875,-337.75,something
954.2962036132812,196.35899353027344,268.3999938964844,159.25,-354.375,-185.5,945.8538208007812,311.5392150878906,118.1570053100586,523.25,-373.625,-490.875,something
953.8326416015625,196.55419921875,267.20440673828125,3.5,-182.0,-37.625,945.0242309570312,311.8075866699219,117.1322021484375,313.25,-222.25,-312.375,something
954.1741943359375,196.6396026611328,266.7286071777344,-179.375,-115.5,-30.625,945.2803955078125,311.9417724609375,116.7296142578125,154.0,-203.875,-306.25,something
954.6500244140625,196.50540161132812,266.7041931152344,-300.125,-72.625,-119.875,945.5975341796875,311.91741943359375,116.4734115600586,7.0,-180.25,-363.125,something
956.0408935546875,196.0540008544922,267.60699462890625,-334.25,-381.5,-466.375,947.14697265625,311.6977844238281,116.96141052246094,-68.25,-477.75,-709.625,something
957.6390380859375,195.32200622558594,269.74200439453125,-77.875,-1357.125,-1503.25,948.92822265625,311.331787109375,118.53520202636719,175.0,-1439.375,-1696.625,something
956.4435424804688,195.85879516601562,269.876220703125,30.625,-2169.125,-1575.875,947.6959838867188,311.8197937011719,118.6572036743164,327.25,-2155.125,-1724.625,something
956.7239990234375,197.33499145507812,273.14581298828125,229.25,-1826.125,-1243.375,948.5377807617188,313.57659912109375,122.2562026977539,705.25,-1752.625,-1596.875,something
1003.3524169921875,190.5273895263672,314.00360107421875,15338.75,1335.25,-11122.125,1001.44921875,314.1256103515625,153.72000122070312,12894.0,2475.375,-14231.875,something
1048.96826171875,185.525390625,318.8104248046875,21204.75,-3469.375,-27181.875,1047.93115234375,314.9917907714844,152.24380493164062,17032.75,-1658.125,-31317.125,something
